".","Freq"
"the",21960
"to",11898
"and",11443
"a",10619
"of",9472
"in",7315
"i",6673
"that",4898
"is",4722
"for",4713
"it",3880
"on",3491
"with",3199
"you",3083
"was",2977
"this",2438
"at",2435
"my",2383
"have",2312
"be",2293
"but",2226
"as",2207
"are",2103
"he",1944
"not",1825
"from",1760
"we",1707
"they",1516
"so",1493
"by",1486
"said",1454
"will",1453
"or",1438
"his",1422
"all",1417
"an",1339
"has",1270
"one",1249
"me",1247
"about",1243
"its",1238
"out",1172
"up",1142
"what",1121
"if",1111
"just",1108
"when",1107
"who",1089
"had",1083
"like",1083
"more",1071
"can",1032
"their",1018
"her",996
"your",987
"were",976
"do",963
"some",938
"time",930
"she",910
"would",900
"there",884
"been",880
"no",854
"get",849
"new",840
"them",730
"our",728
"which",699
"now",696
"know",667
"also",638
"first",631
"into",626
"people",625
"good",620
"im",609
"after",598
"how",592
"other",588
"than",572
"then",572
"us",565
"day",558
"back",557
"over",555
"two",551
"last",543
"make",538
"only",538
"because",532
"him",532
"am",524
"well",523
"much",513
"love",512
"see",503
"year",493
"go",490
"going",488
"years",472
"even",469
"really",467
"way",463
"could",461
"dont",460
"most",454
"think",452
"too",432
"right",426
"where",426
"very",422
"great",421
"got",419
"did",414
"still",414
"any",413
"many",409
"before",401
"through",401
"made",400
"while",399
"little",398
"work",394
"those",388
"off",387
"these",387
"want",387
"here",385
"down",383
"life",383
"being",363
"need",359
"may",358
"say",358
"home",352
"today",351
"something",349
"take",343
"should",334
"never",332
"school",326
"next",316
"things",315
"state",314
"game",312
"around",308
"come",307
"week",307
"since",305
"every",296
"another",290
"–",286
"best",284
"few",283
"long",279
"own",278
"same",273
"big",268
"thats",266
"use",264
"look",263
"better",261
"lot",261
"again",260
"three",259
"world",259
"night",256
"—",252
"both",252
"why",252
"always",251
"each",248
"feel",248
"says",248
"show",247
"sure",244
"it’s",243
"such",242
"thanks",242
"place",241
"keep",240
"city",239
"days",239
"part",234
"cant",231
"put",230
"book",229
"find",229
"until",229
"during",226
"didnt",225
"thing",224
"doing",222
"end",221
"used",221
"help",220
"went",218
"man",214
"team",210
"ever",209
"might",207
"old",207
"family",205
"ive",205
"though",205
"thought",205
"between",204
"house",204
"left",201
"let",199
"give",198
"done",195
"away",192
"set",191
"found",190
"getting",189
"happy",189
"million",189
"second",189
"free",188
"pm",188
"st",187
"against",186
"does",186
"without",186
"making",185
"hope",184
"try",184
"once",183
"point",183
"season",183
"start",183
"percent",182
"high",180
"enough",179
"looking",178
"morning",178
"play",178
"live",177
"having",176
"rt",175
"under",174
"came",173
"times",173
"th",172
"money",171
"four",170
"youre",170
"public",167
"read",165
"room",165
"started",165
"bit",164
"food",164
"top",164
"real",163
"told",163
"took",163
"different",162
"kids",162
"tell",162
"together",162
"course",161
"call",160
"must",159
"police",159
"least",158
"pretty",158
"already",157
"fun",157
"working",157
"along",156
"called",156
"job",156
"later",156
"story",156
"hard",155
"everyone",154
"music",153
"small",153
"u",153
"yet",153
"follow",152
"don’t",151
"i’m",151
"ago",150
"far",149
"post",149
"yes",149
"ill",148
"including",148
"trying",148
"friends",147
"someone",147
"anything",146
"run",146
"god",145
"side",145
"county",143
"actually",142
"company",141
"several",141
"children",140
"months",140
"coming",139
"s",139
"head",138
"lol",138
"using",138
"bad",137
"others",137
"wanted",137
"blog",136
"everything",136
"however",136
"oh",136
"group",135
"makes",135
"kind",134
"minutes",134
"local",133
"maybe",133
"probably",133
"doesnt",131
"comes",130
"early",130
"believe",129
"business",128
"less",128
"name",128
"number",128
"past",128
"talk",128
"water",128
"young",128
"asked",127
"nothing",127
"hours",126
"news",126
"open",126
"whole",126
"almost",125
"full",125
"sunday",124
"support",124
"change",123
"office",123
"able",122
"often",122
"theres",122
"white",122
"add",121
"american",121
"case",121
"friday",121
"idea",121
"person",121
"stop",121
"win",121
"according",120
"anyone",120
"become",120
"games",120
"hes",120
"street",120
"month",119
"myself",119
"care",118
"tonight",118
"friend",117
"given",117
"lost",117
"nice",117
"party",117
"please",117
"president",117
"share",117
"weeks",117
"country",116
"five",116
"national",116
"women",116
"area",115
"government",115
"weekend",115
"bring",114
"check",114
"seen",114
"decided",113
"else",113
"series",113
"center",112
"community",112
"project",112
"soon",112
"wait",112
"large",111
"true",110
"behind",109
"quite",108
"saturday",108
"saw",108
"tomorrow",108
"amazing",107
"car",107
"face",107
"guys",107
"plan",107
"summer",107
"thank",107
"half",106
"monday",106
"problem",106
"couple",105
"finally",105
"law",105
"remember",105
"whether",105
"important",104
"information",104
"list",104
"members",104
"york",104
"among",103
"books",102
"word",102
"fact",101
"hit",101
"lives",101
"mind",101
"reason",101
"theyre",101
"favorite",100
"former",100
"heart",100
"outside",100
"ready",100
"university",100
"beautiful",99
"black",99
"gets",99
"late",99
"needed",99
"program",99
"saying",99
"states",99
"stay",99
"thursday",99
"gave",98
"guy",98
"hot",98
"service",98
"court",97
"cut",97
"history",97
"miss",97
"needs",97
"park",97
"felt",96
"future",96
"pay",96
"store",96
"taking",96
"bill",95
"didn’t",95
"easy",95
"line",95
"north",95
"process",95
"rather",95
"road",95
"sometimes",95
"stuff",95
"thinking",95
"twitter",95
"wasnt",95
"watching",95
"department",94
"girl",94
"movie",94
"students",94
"chance",93
"health",93
"id",93
"reading",93
"running",93
"third",93
"words",93
"april",92
"forward",92
"happen",92
"issue",92
"leave",92
"living",92
"mean",92
"turn",92
"across",91
"experience",91
"green",91
"officials",91
"red",91
"although",90
"fall",90
"means",90
"power",90
"question",90
"within",90
"church",89
"companies",89
"john",89
"playing",89
"recent",89
"board",88
"class",88
"enjoy",88
"general",88
"instead",88
"players",88
"art",87
"close",87
"death",87
"single",87
"watch",87
"writing",87
"men",86
"points",86
"social",86
"west",86
"body",85
"district",85
"event",85
"following",85
"move",85
"seems",85
"ask",84
"baby",84
"either",84
"heard",84
"light",84
"short",84
"system",84
"whats",84
"wrong",84
"added",83
"beer",83
"nearly",83
"south",83
"special",83
"child",82
"learn",82
"market",82
"space",82
"taken",82
"video",82
"director",81
"eat",81
"especially",81
"parents",81
"perfect",81
"phone",81
"rest",81
"san",81
"tuesday",81
"washington",81
"awesome",80
"boy",80
"federal",80
"lead",80
"march",80
"mr",80
"town",80
"visit",80
"write",80
"excited",79
"eyes",79
"fire",79
"hey",79
"ohio",79
"order",79
"played",79
"recently",79
"shot",79
"tax",79
"college",78
"control",78
"hand",78
"spring",78
"wish",78
"wont",78
"cause",77
"final",77
"met",77
"near",77
"age",76
"coach",76
"deal",76
"feeling",76
"obama",76
"sweet",76
"tv",76
"worked",76
"d",75
"front",75
"goes",75
"isnt",75
"likely",75
"matter",75
"meet",75
"meeting",75
"offer",75
"provide",75
"takes",75
"available",74
"cool",74
"create",74
"learned",74
"longer",74
"schools",74
"song",74
"continue",73
"dinner",73
"email",73
"father",73
"inside",73
"seeing",73
"six",73
"turned",73
"woman",73
"yesterday",73
"budget",72
"decision",72
"field",72
"guess",72
"major",72
"mother",72
"problems",72
"usually",72
"cleveland",71
"education",71
"film",71
"girls",71
"online",71
"per",71
"report",71
"sense",71
"simple",71
"talking",71
"based",70
"conference",70
"financial",70
"huge",70
"looks",70
"paper",70
"questions",70
"received",70
"sleep",70
"that’s",70
"tried",70
"won",70
"yearold",70
"birthday",69
"building",69
"buy",69
"christmas",69
"cost",69
"fine",69
"middle",69
"possible",69
"press",69
"sent",69
"wonderful",69
"hear",68
"i’ve",68
"knew",68
"perhaps",68
"return",68
"works",68
"card",67
"crazy",67
"david",67
"forget",67
"haha",67
"hell",67
"looked",67
"pick",67
"picture",67
"can’t",66
"chief",66
"drive",66
"due",66
"hate",66
"issues",66
"mom",66
"piece",66
"plans",66
"services",66
"site",66
"strong",66
"teams",66
"wrote",66
